Hr,Niche,CFU
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Planktonic,0
0,Secondary,0
0,Secondary,0
0,Secondary,0
0,Primary,0
0,Primary,0
0,Primary,0
24,Secondary,530000000
24,Secondary,528000000
24,Secondary,501000000
24,Primary,148000000
24,Primary,149000000
24,Primary,165000000
24,Planktonic,1451000000
24,Planktonic,1531000000
24,Planktonic,1612000000
24,Secondary,712000000
24,Secondary,674000000
24,Secondary,722000000
24,Primary,337000000
24,Primary,389000000
24,Primary,373000000
24,Planktonic,227000000
24,Planktonic,167000000
24,Planktonic,248000000
48,Secondary,1208000000
48,Secondary,1216000000
48,Secondary,1075000000
48,Primary,1260000000
48,Primary,1128000000
48,Primary,1329000000
48,Planktonic,232000000
48,Planktonic,206000000
48,Planktonic,238000000
48,Primary,241000000
48,Primary,246000000
48,Primary,232000000
48,Secondary,85000000
48,Secondary,77000000
48,Secondary,87000000
48,Planktonic,182000000
48,Planktonic,167000000
48,Planktonic,211000000
72,Secondary,318000000
72,Secondary,265000000
72,Secondary,329000000
72,Primary,125000000
72,Primary,146000000
72,Primary,151000000
72,Planktonic,150000000
72,Planktonic,223000000
72,Planktonic,274000000
72,Secondary,116000000
72,Secondary,110000000
72,Secondary,96000000
72,Primary,103000000
72,Primary,109000000
72,Primary,110000000
72,Planktonic,261000000
72,Planktonic,261000000
72,Planktonic,233000000
72,Planktonic,234000000
72,Planktonic,309000000
96,Secondary,309000000
96,Secondary,299000000
96,Secondary,328000000
96,Primary,193000000
96,Primary,201000000
96,Primary,206000000
96,Planktonic,101000000
96,Planktonic,99000000
96,Planktonic,91000000
96,Secondary,163000000
96,Secondary,136000000
96,Secondary,154000000
96,Primary,46000000
96,Primary,47000000
96,Primary,53000000
96,Planktonic,233000000
96,Planktonic,269000000
96,Planktonic,235000000
